,uid,mean_x,sd_x,mean_y,sd_y
0,uid,1.0,2.0,1.0,2.0
1,u00,9595.92391304,7795.82929441,9457.80530973,7781.88841276
2,u01,12134.0682927,8802.51097115,14280.3564815,9809.88200473
3,u02,11389.0695187,9904.06333418,10340.1089744,8436.16830357
4,u03,14019.7301587,9848.93525309,14850.0392157,10342.9335009
5,u04,11836.7126866,8184.96128011,14496.5518672,8623.5496857
6,u05,13043.0882353,10219.7034342,13357.5444444,10195.2345398
7,u07,13653.8092105,10257.7803008,15476.0718954,10464.4110373
8,u08,10381.009434,7798.39967846,8540.22463768,5830.09488214
9,u09,11098.7539267,8685.05579337,14803.7442922,10322.248829
10,u10,11093.2442396,9051.51472336,9943.0166113,8173.10472646
11,u12,10734.401487,9580.37922212,9373.5339233,7594.97901691
12,u13,14594.8157895,11020.9226149,10137.3401015,7969.24877654
13,u14,13691.3265306,9799.05586252,11295.1382488,8537.86261413
14,u15,14333.2857143,10267.8598488,15342.6896552,11411.2361358
15,u16,10564.4355828,8393.98171534,10656.0371901,8475.2631026
16,u17,12080.7099567,8492.38361673,13126.231441,8984.56707085
17,u18,11817.92,9505.41946148,12377.0,9095.26165453
18,u19,13752.3296089,10767.0179083,11370.4724409,9092.57624157
19,u20,12465.3736264,8813.75914711,12518.5363636,9025.40351145
20,u22,11872.2268041,8869.00460912,11841.6132075,9265.14925472
21,u23,13616.7853403,10137.9796498,10393.1635514,7426.3140679
22,u24,9906.14285714,8414.85754469,11099.8492063,8525.30154499
23,u25,9456.25773196,6567.42860048,12007.9807692,8578.28613134
24,u27,9446.00961538,7730.60807365,11037.6122449,8299.57363771
25,u30,12392.3298429,9890.91925913,13422.5720339,9659.82872536
26,u31,9958.11,7325.5223607,7803.51442308,4737.32573817
27,u32,12715.1206897,9798.60249516,12776.622807,9563.96310302
28,u33,12645.3555556,9467.11628746,10328.3064516,8151.50439955
29,u34,11209.5294118,7327.13753209,13038.45,8272.31132229
30,u35,12580.6170213,7991.45187754,12577.9711538,8431.68681307
31,u36,10981.0286885,9468.84801916,9684.88288288,8181.56271167
32,u39,17440.75,12260.4137748,10640.6923077,8954.93638899
33,u41,11516.9315068,9135.92564843,14247.6617647,9905.83869679
34,u42,14530.7708333,9420.36592258,12092.7653061,8435.10973389
35,u43,12297.057554,9949.04412186,12356.6790123,9549.97154602
36,u44,12096.1904762,9544.68741841,11237.7955556,8998.87265623
37,u45,14543.4782609,10194.23741,10126.0706522,6227.65401894
38,u46,10053.7682927,7182.28835707,9354.07317073,7381.04768742
39,u47,13019.7391304,9356.50343151,11501.1058824,8038.9852268
40,u49,10203.9104478,7259.37106536,8215.4265233,5418.76748983
41,u50,13562.1129032,10495.1317272,11658.3762376,7959.47173354
42,u51,10901.8798077,8417.88713952,12287.4651899,9106.69209412
43,u52,10474.9330144,7767.53827299,9335.05063291,7037.73747851
44,u53,13498.8790323,9356.51760804,12065.8962656,7556.85214348
45,u54,9892.39072848,7465.10380368,8722.34545455,6200.31503493
46,u56,12912.8878505,9922.04084238,13267.3941606,9897.75212846
47,u57,11029.4034335,9037.99863175,8686.99657534,5898.60767455
48,u58,11290.0913978,8822.34999626,12035.7443609,8576.3333729
49,u59,10667.4,7903.45730137,10468.0896552,7487.7052364
