uid,1,2
u00,9457.80530973,7781.88841276,
u01,14280.3564815,9809.88200473,
u02,10340.1089744,8436.16830357,
u03,14850.0392157,10342.9335009,
u04,14496.5518672,8623.5496857,
u05,13357.5444444,10195.2345398,
u07,15476.0718954,10464.4110373,
u08,8540.22463768,5830.09488214,
u09,14803.7442922,10322.248829,
u10,9943.0166113,8173.10472646,
u12,9373.5339233,7594.97901691,
u13,10137.3401015,7969.24877654,
u14,11295.1382488,8537.86261413,
u15,15342.6896552,11411.2361358,
u16,10656.0371901,8475.2631026,
u17,13126.231441,8984.56707085,
u18,12377.0,9095.26165453,
u19,11370.4724409,9092.57624157,
u20,12518.5363636,9025.40351145,
u22,11841.6132075,9265.14925472,
u23,10393.1635514,7426.3140679,
u24,11099.8492063,8525.30154499,
u25,12007.9807692,8578.28613134,
u27,11037.6122449,8299.57363771,
u30,13422.5720339,9659.82872536,
u31,7803.51442308,4737.32573817,
u32,12776.622807,9563.96310302,
u33,10328.3064516,8151.50439955,
u34,13038.45,8272.31132229,
u35,12577.9711538,8431.68681307,
u36,9684.88288288,8181.56271167,
u39,10640.6923077,8954.93638899,
u41,14247.6617647,9905.83869679,
u42,12092.7653061,8435.10973389,
u43,12356.6790123,9549.97154602,
u44,11237.7955556,8998.87265623,
u45,10126.0706522,6227.65401894,
u46,9354.07317073,7381.04768742,
u47,11501.1058824,8038.9852268,
u49,8215.4265233,5418.76748983,
u50,11658.3762376,7959.47173354,
u51,12287.4651899,9106.69209412,
u52,9335.05063291,7037.73747851,
u53,12065.8962656,7556.85214348,
u54,8722.34545455,6200.31503493,
u56,13267.3941606,9897.75212846,
u57,8686.99657534,5898.60767455,
u58,12035.7443609,8576.3333729,
u59,10468.0896552,7487.7052364,
