uid,1,2
u00,9595.92391304,7795.82929441,
u01,12134.0682927,8802.51097115,
u02,11389.0695187,9904.06333418,
u03,14019.7301587,9848.93525309,
u04,11836.7126866,8184.96128011,
u05,13043.0882353,10219.7034342,
u07,13653.8092105,10257.7803008,
u08,10381.009434,7798.39967846,
u09,11098.7539267,8685.05579337,
u10,11093.2442396,9051.51472336,
u12,10734.401487,9580.37922212,
u13,14594.8157895,11020.9226149,
u14,13691.3265306,9799.05586252,
u15,14333.2857143,10267.8598488,
u16,10564.4355828,8393.98171534,
u17,12080.7099567,8492.38361673,
u18,11817.92,9505.41946148,
u19,13752.3296089,10767.0179083,
u20,12465.3736264,8813.75914711,
u22,11872.2268041,8869.00460912,
u23,13616.7853403,10137.9796498,
u24,9906.14285714,8414.85754469,
u25,9456.25773196,6567.42860048,
u27,9446.00961538,7730.60807365,
u30,12392.3298429,9890.91925913,
u31,9958.11,7325.5223607,
u32,12715.1206897,9798.60249516,
u33,12645.3555556,9467.11628746,
u34,11209.5294118,7327.13753209,
u35,12580.6170213,7991.45187754,
u36,10981.0286885,9468.84801916,
u39,17440.75,12260.4137748,
u41,11516.9315068,9135.92564843,
u42,14530.7708333,9420.36592258,
u43,12297.057554,9949.04412186,
u44,12096.1904762,9544.68741841,
u45,14543.4782609,10194.23741,
u46,10053.7682927,7182.28835707,
u47,13019.7391304,9356.50343151,
u49,10203.9104478,7259.37106536,
u50,13562.1129032,10495.1317272,
u51,10901.8798077,8417.88713952,
u52,10474.9330144,7767.53827299,
u53,13498.8790323,9356.51760804,
u54,9892.39072848,7465.10380368,
u56,12912.8878505,9922.04084238,
u57,11029.4034335,9037.99863175,
u58,11290.0913978,8822.34999626,
u59,10667.4,7903.45730137,
