uid,1,2,3,4,5,6,7,8,9,10
u00,1.5,2.0,2.5,3.0,2.0,3.0,2.5,2.0,2.0,2.0,
u01,1.5,2.0,2.0,2.5,3.0,2.0,2.5,3.0,1.5,1.5,
u02,2.5,2.0,3.0,3.0,1.5,3.0,1.5,2.0,2.5,2.0,
u03,1.5,1.5,3.0,1.5,1.5,1.5,1.0,0.5,0.5,1.0,
u04,1.5,1.0,3.5,2.5,2.0,2.0,2.5,1.5,1.5,2.0,
u05,1.5,1.5,1.0,3.5,3.5,0.5,3.5,3.5,0.5,0.0,
u07,2.0,2.0,3.5,3.5,2.5,2.0,2.0,2.0,2.5,2.0,
u08,2,3,4,2,2,2,3,2,2,3,
u09,1.0,1.5,3.0,2.5,3.0,1.5,3.0,2.0,1.0,1.5,
u10,2.5,2.0,3.0,3.5,3.0,2.0,1.5,4.0,2.5,1.5,
u12,1,1,2,3,3,1,3,3,1,1,
u13,1,3,4,1,1,1,1,0,2,1,
u14,1.5,0.5,2.5,2.5,2.5,1.0,4.0,4.0,1.5,1.5,
u15,2.0,1.5,2.5,2.5,2.5,1.0,2.5,2.0,2.0,1.0,
u16,3.5,4.0,4.0,2.5,2.0,2.0,2.5,3.0,2.0,3.5,
u17,3.0,4.0,4.0,2.0,1.0,4.0,1.5,0.0,3.5,3.5,
u18,3.0,3.0,3.5,2.5,1.5,2.5,2.0,2.0,2.5,3.0,
u19,2.0,2.5,3.0,2.0,2.5,1.5,1.5,2.5,2.0,2.0,
u20,1.5,1.5,2.5,2.5,2.5,2.0,4.0,2.0,1.5,2.0,
u22,1,0,1,4,2,0,3,4,1,0,
u23,3.0,2.5,3.5,2.5,2.0,2.5,2.0,2.0,3.0,2.5,
u24,1.5,1.0,2.5,2.5,3.0,1.5,2.5,1.5,2.0,1.0,
u27,2.0,2.0,3.5,2.5,2.0,2.5,2.0,2.0,1.5,1.5,
u30,1.5,1.5,2.0,3.5,3.0,1.5,3.5,3.5,1.0,0.5,
u31,3.5,3.0,0.5,1.0,1.5,1.5,2.5,0.5,1.5,1.0,
u32,0.5,1.5,2.0,4.0,3.0,0.5,4.0,4.0,0.0,0.0,
u33,3.0,4.0,4.0,1.0,1.0,4.0,1.0,0.5,2.0,3.5,
u34,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.5,1.5,
u35,1.5,2.0,1.5,2.5,2.5,1.5,3.5,2.0,1.0,2.0,
u36,1.5,1.0,2.0,3.0,2.5,1.5,2.0,1.5,1.0,1.0,
u42,1.5,2.5,2.5,1.5,1.5,1.5,2.0,2.0,1.0,1.5,
u43,1.5,2.5,2.0,2.5,2.5,1.5,3.0,2.5,2.5,1.5,
u44,1.5,2.0,2.0,2.0,2.0,1.5,2.0,1.0,2.0,1.0,
u45,1.5,2.5,1.5,1.0,1.0,1.5,0.5,2.0,2.5,1.5,
u46,3.5,2.5,3.0,1.5,1.5,4.0,1.0,2.0,4.0,3.5,
u47,2.0,1.5,3.0,2.0,2.0,2.0,1.5,2.0,2.5,1.5,
u49,1.5,1.5,2.0,3.0,3.5,1.0,3.5,3.0,1.5,1.5,
u50,1,1,1,0,2,1,2,2,3,2,
u51,1.0,1.0,2.5,2.5,2.5,1.0,3.0,2.5,1.0,1.0,
u52,2.0,4.0,4.0,1.0,3.0,2.5,2.5,1.5,1.5,3.5,
u53,2.5,2.5,3.5,2.0,2.0,2.0,3.0,2.0,2.0,2.0,
u54,3.0,3.0,3.0,2.5,2.0,2.0,2.5,1.0,1.5,2.0,
u56,1.0,1.5,1.0,3.0,3.5,1.5,3.0,3.0,0.5,1.0,
u57,1,2,2,4,3,0,3,3,1,0,
u58,2,3,4,3,1,1,4,1,2,1,
u59,2.0,2.5,2.0,2.5,2.5,2.5,3.5,3.0,1.5,0.5,
